tweet,reply1,reply2,reply3,reply4,reply5,reply6,reply7,reply8,reply9,reply10,reply11,reply12,reply13,reply14,reply15,reply16,reply17,reply18,reply19,reply20,reply21,reply22,reply23,reply24,reply25,reply26,reply27,reply28,reply29,reply30,reply31,reply32,reply33,reply34,reply35,reply36,reply37,reply38,reply39,reply40,reply41,reply42,reply43,reply44,reply45,reply46,reply47,reply48,reply49,reply50,reply51,reply52,reply53,reply54,reply55,reply56,reply57
"Стала ли «ласточка» доступнее? Сравнили цены на машины сейчас и 20 лет назад.

 "," В нашей деревне 20 лет назад 15 соток земли стоили 200 долларов, теперь цены начинаются от 10 тысяч долларов… ",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Неожиданные продукты, которые повышают холестерин.

Почитайте, чтобы знать!

 "," В нашей деревне 20 лет назад 15 соток земли стоили 200 долларов, теперь цены начинаются от 10 тысяч долларов… ",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Коронавирус после прививки: как сильно люди болеют и почему это происходит?

Некоторые привитые сообщают о том, что… "," Вакцинация защищает от тяжелой формы и способствует более легкому течению заболевания. Но это не гарантия, ч… ", Вот шли мазлы трепливые.,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"На рабочем месте задержали врача Руслана Бадамшина. 

Где он сейчас находится и по какой причине его забрали — неиз… "," 💐💐💐💐💐

❤️❤️📢❤️❤️

⬜️⬜️⬜️⬜️⬜️
🟥🟥🟥🟥🟥🩸 😓 😢
⬜️⬜️⬜️⬜️⬜️

❤️❤️🥊❤️❤️

💐💐💐💐💐"," Скоро всплывёт где-нибудь в жопе мира Подляского воеводства, с ""интереснейшим"" интервью о ""успешной жизни"" в Польше.", Ну это вам не санкции против санатория Беларусь вводить где детки лечатся с ДЦП как это сделала Тихановская… ," зачистка. тотальная. по всей стране...ой...шо, т.н. журналисты не видят что ли?", Не дай Бог к такому врачу попасть! Для таких ценность человеческой жизни ушла под тень тутбая и лайковой жиз… ,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
Россия и Беларусь договорились о создании трех учебно-боевых центров совместной подготовки военнослужащих.… ," Ну разумею што трэба, раз мы ў АДКБ, але навошта гэтыя базы на нашай тэрыторыі?! Наша краіна не мае такога т… ", Красауцы и кадырауцы," Не путайте Россию и Беларусь с бандитами, которые о чём-то договариваются.", Это уже вежливые люди пожаловали?," лукашенка уже публично игнорируется россиянами. сначала мвд напрямую договора с москвой подписали, теперь ро… ", Российские солдаты под Гродно? Это уже независимость? Или всё-таки измена родине?," Белвояки шлюшками при россиянах, за что и боролись."," пусть сначала тех 200 вагнеровцев, что в лесах потерялись, найдут. А то новых наплодят, и те тоже потеряются"," После того, как с молчаливого согласия России натовцы разбомбили Сербию, разрушили и разграбили Ирак и Ливию… ", Два деда договорились о создании трех учебно-боевых центров по подготовки подавления своих народов.., Вот вам и база!,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Спросили у эксперта, куда выгоднее всего пристроить заначку, чтобы не остаться в минусе, а может, даже и заработать… ", Баксы покупай," эксперт у вас так себе, прямо скажем", В государственные облигации министерства финансов РБ?,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Маргарита Левчук — оперная певица, которую раньше можно было услышать в Большом театре, а сейчас девушка троллит си… ", ⬜️♀️⬜️  ❤️," От жаж ботам пердакі ірве))) Рыта - цуд! А вам, боты ватніцкія - да веткі з саладухам і блязнятамі, з палова… "," Люблю её!
Выходи за меня, Маргарита 🤗", Убожество!!!, Силовики и чиновники в курсе такой смелости?," Вата завидует, поебывая своих страшных и озлобленных женушек))"," Галасы троллят троллей )

"," Жалкое зрелище.

Разменять свою жизнь на скомороха."," Очень смело тролить из Литвы,  прямо как котлетная фея"," о, хоць на чалавека падобна без жахлівага опернага мэйка.", По граблям Маскаковой пошла. Закончит позорищем на ток-шоу.,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Лукашенко признался, что наблюдает за «беглыми», которые хотят «поднять людей к весне».

«КГБ вам в ближайшее время… "," А мозгов вам не завезли, лукаботы?", Дайте деду таблетки, Меня одну подташнивает?," Это же как погранцы облажались, что столько тратила и пластита пропустили... зря бацька из кормит", Вот же пиздобол 🤦‍♂️, На мейсцы жыхароў Менска я б напалохаўся! Калі размова паішла пра пласціт з-за межы...кароч-лепей у мятро не ездзіць... пакуль..., Принимали на этой стороне беглые вагнеровцы из лесов?," Удивительно, как ещё не устроили ни одного взрыва за эти пол года?"," Президент ОМОНа такую пургу нёс на вело заводе, что просто стыд и позор😪", А термит? А сахаруха?, ну так и поверили епта, Я так понимаю свозилы тараканьи силы. Как с «Белым Легионом» когда БТ-шники предоставили киношный пластиковы… ," Интересно есть ли такие которые ещё верят в эти сказки про"" Многа инцирэснава"".", В каком примерно году его болтовня превратилась из материалов для будущего уголовного дела в материалы для б… , А новую партию вагнеровцев тоже завезли? Или уже те оттаяли и готовы к бою? 🤣🤣🤣🤣🤣," стоит старичку напомнить, что он передал внешние границы под контроль россиян...так кто и откуда ввез. видим… "," Абяцанкі-цацанкі, а дурню - радасць.", И сахару.," Летом уже тоже везли с Украины, только вот ни доказательств, ни дел мы так и не увидели"," Будет, очэнь антирэсна или нет ?"," Что бы он не сказал, все против него"," Да никто не сомневается, что Рашка омоновцам и тротила, и пластита завезли.", Когда уже его усыпят?, Из его неизданных «рассказов» можно уже двенадцатитомник выпускать... :)," Брехать, не мешки ворочать..."," А сколько лапши,  на следующей неделе все скажу,  железом по стеклу,  и про вагнеровцев в лесах,  как обычно 😉", Вестник из дурки," Ад аўтара "" я сажусь в брэхалёт, а амерыканцы, ані жэ сразу с космаса эта відзят....""", Только кто поверит?!, , , Долбоеб, Кто понял тот понял , Про убийство Бондаренко обещал «очччень интересно». Где?, кто в это поверит?," А можно узнать, как этот тротил удалось перевезти через границу?"," Эта песня хороша, начинай с начала. Че там с белым легионом и их  смертоносным страйкбольным вооружением, ло… "," Как только 200 вагнеровцев доловит, так сразу и расскажет - добавил сказочный таракан."," Если в страну ввозят такие вещества, значит не работает погранслужба это опять же характеризует его как упра… "," люди , не ходите сейчас лучше в метро . этот больной придурок опять за старое взялся", а лисички взяли спички...... и свислочь нахуй подожгли!!!! , Пластилина, Мозгов только для них никто не завозит(, Скорее бы уже новый сезон «Ник и Майк», И даже пастилы," Лучше бы тебе таблеток завезли, велосипедист хуев"," вот, куда кгб бюджетные средства тратит.. лучше б выделили на химию импортную раковым больным, а то тротил они завозят с пластитом)"," Какую пользу принесет тротил в деле гипотетического свержения власти?
Или следует понимать так, что в метро надо переставать ездить?", КГБ после этих слов лихорадочно ищет где взять столько тротила и пластида для съёмок, , , На хуй идет, еще не все дохлые крысы всплыли а они уже тротил завозят фурами.. вы серьезно _Minsk ? вы ещё жып с гран… , Весеннее обострение. Все ок, Вагнеровцы рассказали?, Боится 😸," Очередное ""будзиць очынь интэрэсна""... Иди таблетки пей, уёбок."
"Украина опять внесла Беларусь в «зеленый список» по COVID-19.

Можно ехать без ПЦР-теста и карантина.… ", Хохлы не хотят помирать в одиночестве.," автобусы есть? или только авиа?
кто нибудь в курсе?",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
СК возбудил уголовное делопо факту деятельности лишенного регистрации правозащитного центра «Вясна». ПЦ выступил с… ," СК, че слышно по реальным приступникам? Дрпустим тем кто работает в _belarusbank и слывает конфеденциаль… "," Ну этому ""мощному старику"" не привыкать. Это его профессиональная деятельность, начиная с 96 года. За что по… "," Это давно известно..
Ну типа люди сами вышли
Деньги сами к ним пришли"," Вспомнил старый анекдот. Как раз про ненасильственные действия…

Новости: В стране Х был совершён переворот… ",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Бывший следователь Андрей Остапович создал инициативу бывших силовиков, которые собирают информацию о тех, кто заде… "," Много воды и как всегда - ни о чём. 
Обиженные жизнью ебланы, променявшие честь и совесть на обивание порого… ", Как и во времена Великой отечественной белорусские полицаи тут как тут со своей фашистской тряпкой. ," Главное, чтобы все это говно не ушло от ответа"," Как BYpol в Варшаве моют пол...
На другую работу беглых не берут🤷🏻

Можете посмотреть их последнее секретное… "," Тутки, а как-же насилуют в загаловке?  Как же вы так, лапухнулись?  Срочно дополнить, а то не тот эффект"," Хахахаха
Остапович 🤦🏻‍♀️ хаха.

Совсем никуда не устроился что ли.
Великий следователь 🤦🏻‍♀️
Даже на клубник… "," Ничего нового с той войны не происходит. До середины 50-ых гитлеровских бчбесов по лесам отлавливали, да не… ",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
Министр иностранных дел Литвы прокомментировал просьбу Генпрокуратуры РБ о выдаче Светланы Тихановской. ," Когда солнце взойдёт на западе и зайдёт на востоке, когда высохнут реки и горы полетят по ветру как листья,… "," 🇱🇹
👍👍👍"," Моё безграничное уважение этому человеку👏🏻👏🏻👏🏻 
Интересно, как это - иметь адекватную власть в стране?"," @3JiFP2iqG1VrZls Почему бы и нет, в обмен на лукашенко, для Гаагского трибунала ,по запросу Тихановской, зак… ","  Мне кажется самое время Белоруси отправить Лукашенко в ад, следить за климатическими условиями."," Молодцы! Как этому белорусскому шведу: по сусалам ему, по сусалам!", 411 красавы!," ""Lithuania does not extradite people undergoing political prosecution""

🇱🇹 💞 ⬜️🟥⬜️

Just like the election r… "," ад пуст, все бесы тут"," _karatel Как гражданин поддерживаю! Вас спасет только пересчет голосов,граждане бандиты!", Хороший ответ . Нужно запомнить для пользования)), Красава, Любимую не отдают!," Сначала выперли из Беларуси, а теперь дело завели.Кыно", Достойный ответ хунте., молодцы-отлично,  , ," Это не просьба, а официальный запрос."," Есть в этом какое то абсурдное противоречие.
 С одной стороны каждый день талдычат ,что тихановская лидер и… ", ," Вымирающая Литва, откуда молодежь эвакуировалась мыть унитазы в четвертый рейх, занимающая первые места в ми… ", На всей территории ЕВРОПЫ не имеют иллюзий по поводу РФ только бывшие страны варшавского договора и Прибалтика.," ""Рэжым"" такі мілы- сваёй валтузнёй прымусіў, каб яго ў чарговы раз памакалі пысай у гаўно. Мяркую, хлопчыка… "," _Veduta Что же раньше,
ад замерзнет или же, обратно, от мертвого осла уши 
воскреснут?

Ставки будем?"," Всё. Эту беглянку оставляйте себе.

У нас новый президент избранный.
Избрание подтверждено электронным голос… ", Ад и Тихановская 🤦🏻‍♀️," Смешно когда власть пытается заставить Литву выдать Тихановскую, но при этом сами спрятали у себя Бакиева и… ", как неловко получилось-то... ,  Вау! Круто и спасибо ему, Интересно каково это когда во власти адекватные люди," Как только в Литве отключат отопление Светлана Тихановская вернётся на родину

Сказано очень дипломатично"," А  сказал бы ""нахуй идут""", скорее Вильно вернется в родную гавань," Друг познаётся в беде,  а вот те, кого почему-то часть населения называет ""братьями"" продолжают выдавать пал… "," Дырку от бублика, а не Шарапова", можно сказать что они их Нахй послали 😁,  здесь можешь отдохнуть,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Болельщики НФК «Крумкачы» объяснили, почему не будут бойкотировать матчи команды.

 "," Ну такое, гайзы. Вряд ли Крумкачы высказывали свою позицию и терпели за это, чтобы потом их фанаты не поддер… "," 😆 ""Бо кожная гульня нашай каманды цяпер — гэта барацьба дабра са злом"" - Шахтер, батэ, динамо-брест и тд вы… ", Статью писал Капитан очевидность:)," По их словам, игроки с народом и поэтому будут поддерживать. Вот текст

обосранныеСМИ ",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"В Лиде погиб врач-гинеколог местной больницы. Его тело нашли около одной из многоэтажек.

Родственники предполагают… "," Ну такое, гайзы. Вряд ли Крумкачы высказывали свою позицию и терпели за это, чтобы потом их фанаты не поддер… "," 😆 ""Бо кожная гульня нашай каманды цяпер — гэта барацьба дабра са злом"" - Шахтер, батэ, динамо-брест и тд вы… ", Статью писал Капитан очевидность:)," По их словам, игроки с народом и поэтому будут поддерживать. Вот текст

обосранныеСМИ ",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Вы хорошо понимаете логику приговоров?

Попробуйте себя в роли судьи в нашей игре!

 "," Ну все понятно, какая логика, такой и тест "," логіка одна.
белорус  должен умереть, ісчезнуть. все как вовік путін пожелал."," Які сэнс? У марыянетак логікі не бывае, яны рот адкрываюць у такт з гаспадаром. А гаспадар ніколі з логікай не дружыў.", Иронично,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
